Year,Month,Company A,Company B,Company C,Company D,Company E,Company F,Company G,Company H,Company I,Company J,Company K,Company L,Company M,Company N,Company O,Company P,Company Q,Company R,Company S,Company T,Company U,Company V,Company W,Company X
1990,Jan,56.00,89.00,122.00,155.00,188.00,221.00,254.00,287.00,320.00,353.00,386.00,419.00,452.00,485.00,518.00,551.00,584.00,617.00,650.00,683.00,716.00,749.00,782.00,815.00
1990,Feb,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00
1990,Mar,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00
1990,Apr,56.00,34.00,12.00,25.00,38.00,51.00,64.00,77.00,90.00,103.00,116.00,129.00,142.00,155.00,168.00,181.00,194.00,207.00,220.00,233.00,246.00,259.00,272.00,285.00
1990,May,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00
1990,Jun,56.00,11.00,19.00,27.00,35.00,43.00,51.00,59.00,67.00,75.00,83.00,91.00,99.00,107.00,115.00,123.00,131.00,139.00,147.00,155.00,163.00,171.00,179.00,187.00
1990,Jul,56.00,69.00,82.00,95.00,108.00,121.00,134.00,147.00,160.00,173.00,186.00,199.00,212.00,225.00,238.00,251.00,264.00,277.00,290.00,303.00,316.00,329.00,342.00,355.00
1990,Aug,56.00,9.00,16.00,23.00,30.00,37.00,44.00,51.00,58.00,65.00,72.00,79.00,86.00,93.00,100.00,107.00,114.00,121.00,128.00,135.00,142.00,149.00,156.00,163.00
1990,Sep,56.00,55.00,54.00,53.00,52.00,51.00,50.00,49.00,48.00,47.00,46.00,45.00,44.00,43.00,42.00,41.00,40.00,39.00,38.00,37.00,36.00,35.00,34.00,33.00
1990,Oct,56.00,38.80,21.60,4.40,15.00,25.60,36.20,46.80,57.40,68.00,78.60,89.20,99.80,110.40,121.00,131.60,142.20,152.80,163.40,174.00,184.60,195.20,205.80,216.40
1990,Nov,56.00,15.00,19.00,23.00,27.00,31.00,35.00,39.00,43.00,47.00,51.00,55.00,59.00,63.00,67.00,71.00,75.00,79.00,83.00,87.00,91.00,95.00,99.00,103.00
1990,Dec,56.00,40.00,24.00,8.00,29.00,50.00,71.00,92.00,113.00,134.00,155.00,176.00,197.00,218.00,239.00,260.00,281.00,302.00,323.00,344.00,365.00,386.00,407.00,428.00
1991,Jan,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00
1991,Feb,67.00,72.00,77.00,82.00,87.00,92.00,97.00,102.00,107.00,112.00,117.00,122.00,127.00,132.00,137.00,142.00,147.00,152.00,157.00,162.00,167.00,172.00,177.00,182.00
1991,Mar,67.00,88.00,109.00,130.00,151.00,172.00,193.00,214.00,235.00,256.00,277.00,298.00,319.00,340.00,361.00,382.00,403.00,424.00,445.00,466.00,487.00,508.00,529.00,550.00
1991,Apr,56.00,104.00,152.00,200.00,248.00,296.00,344.00,392.00,440.00,488.00,536.00,584.00,632.00,680.00,728.00,776.00,824.00,872.00,920.00,968.00,1016.00,1064.00,1112.00,1160.00
1991,May,55.00,120.00,185.00,250.00,315.00,380.00,445.00,510.00,575.00,640.00,705.00,770.00,835.00,900.00,965.00,1030.00,1095.00,1160.00,1225.00,1290.00,1355.00,1420.00,1485.00,1550.00
1991,Jun,45.00,136.00,227.00,318.00,409.00,500.00,591.00,682.00,773.00,864.00,955.00,1046.00,1137.00,1228.00,1319.00,1410.00,1501.00,1592.00,1683.00,1774.00,1865.00,1956.00,2047.00,2138.00
1991,Jul,54.00,152.00,250.00,348.00,446.00,544.00,642.00,740.00,838.00,936.00,1034.00,1132.00,1230.00,1328.00,1426.00,1524.00,1622.00,1720.00,1818.00,1916.00,2014.00,2112.00,2210.00,2308.00
1991,Aug,53.54,168.00,282.46,396.93,511.39,625.86,740.32,854.79,969.25,1083.71,1198.18,1312.64,1427.11,1541.57,1656.04,1770.50,1884.96,1999.43,2113.89,2228.36,2342.82,2457.29,2571.75,2686.21
1991,Sep,53.07,184.00,314.93,445.86,576.79,707.71,838.64,969.57,1100.50,1231.43,1362.36,1493.29,1624.21,1755.14,1886.07,2017.00,2147.93,2278.86,2409.79,2540.71,2671.64,2802.57,2933.50,3064.43
1991,Oct,52.61,200.00,347.39,494.79,642.18,789.57,936.96,1084.36,1231.75,1379.14,1526.54,1673.93,1821.32,1968.71,2116.11,2263.50,2410.89,2558.29,2705.68,2853.07,3000.46,3147.86,3295.25,3442.64
1991,Nov,52.14,216.00,379.86,543.71,707.57,871.43,1035.29,1199.14,1363.00,1526.86,1690.71,1854.57,2018.43,2182.29,2346.14,2510.00,2673.86,2837.71,3001.57,3165.43,3329.29,3493.14,3657.00,3820.86
1991,Dec,51.68,232.00,412.32,592.64,772.96,953.29,1133.61,1313.93,1494.25,1674.57,1854.89,2035.21,2215.54,2395.86,2576.18,2756.50,2936.82,3117.14,3297.46,3477.79,3658.11,3838.43,4018.75,4199.07
